観光地名,都道府県,住所,紹介文,営業日,電話番号,参考URL,写真,カテゴリー
坂折棚田,岐阜県,恵那市中野方町坂折,"岐阜県恵那市坂折にある棚田です。棚田面積14.2ha　360枚あるそうです。
棚田100選に選ばれています。駐車場が完備されていて展望所になっています。
整備事業が行われたそうで、とても綺麗な石積み棚田です。
周辺住民の方も気を使われているようで、朝8時から一斉清掃を行っていました。",,-,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOb0VBN2dCdGQwaE0/edit?usp=docslist_api,特殊地形
名勝　養浩館庭園,福井県,福井市宝永３丁目１１－３６,福井藩主松平家の別邸。数奇屋風書院建築と回遊式林泉庭園は江戸中期を代表する名園として知られる。建物は福井空襲で焼失したが庭園は旧態を残し国の名勝に指定。古図等を元に復元整備された。,通年,0776-21-0489（福井市立郷土歴史博物館）,http://www.history.museum.city.fukui.fukui.jp/yokokan/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOQ0EyUHVjczhWNWc/edit?usp=docslist_api,庭園
伊勢神宮・内宮,三重県,伊勢市宇治館町１,2000年の歴史をもつ天照大御神を祀る宮。五十鈴川ほとりの広い神域には御正宮をはじめ日本古来の建築様式の宮社が立ち並ぶ。20年に一度式年遷宮が行われる。,通年,0596-24-1111,http://www.isejingu.or.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOY0pCV2tpQ2Rqc0k/edit?usp=docslist_api,神社（稲荷・権現）
八事山興正寺,愛知県,名古屋市昭和区八事本町７８,尾張徳川家ゆかりのお寺。五重塔や庭園など文化価値の高い建物が桜や紅葉などの木々に囲まれている。毎月5日と13日には、縁日が、21日は興正寺マルシェが開催され、多くの参拝者で賑わう。,通年,052-832-2801（八事山興正寺）,http://www.koushoji.or.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOS0dYWENjRC1qTkE/edit?usp=docslist_api,寺院（観音・不動）
でんきの科学館,愛知県,名古屋市中区栄２丁目２－５　電気文化会館　１～４階,展示室と自分の顔を取り込んだキャラクターでゲームができるオームシアターで、電気をはじめ地球環境やエネルギーについて体験しながら学ぶことができる。さまざまな実験や工作も体験できる。,通年,052-201-1026,http://www.chuden.co.jp/e-museum/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOb2RsR0NqazZ0YUU/edit?usp=docslist_api,学習館・科学館
一宮地域文化広場,愛知県,一宮市時之島玉振１－１,直径18mのプラネタリウムやフィールドアスレチック、親子プールなどがある。天文施設を備えた宿泊棟もある。プラネタリウムの上映プログラムは季節ごとに入れ替わる。,通年,0586-51-2180,http://www.hamada-sports.com/ichinomiya_chiikibunka/ichi/index.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAObG9xa2NqRnhCN2c/edit?usp=docslist_api,その他の体験施設
鞍ケ池公園,愛知県,豊田市矢並町法沢７１４－５,芝生広場、プレイハウス、植物園、動物園、観光牧場、四季の古里（さと）、若草山、PA園地、PA展望台などがあり、入園料や入場料がすべて無料。,通年,0565-80-5310（鞍ケ池公園管理事務所）,http://www.city.toyota.aichi.jp/division/facilities/j/fc27/index.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMFoxZ3JUc21VVFU/edit?usp=docslist_api,公園・緑地
於大公園,愛知県,知多郡東浦町緒川沙弥田２－１,12.1haの敷地を有する公園。丘陵地にあり、春は梅や桜などの花見ができる。芝生広場や健康遊具、バーベキュー、夏期のプールなど、家族で楽しめる施設も数多い。,通年,0562-84-6166,http://www.town.aichi-higashiura.lg.jp/odaipark/index.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAONXNtWExRT2dHRVk/edit?usp=docslist_api,公園・緑地
名古屋市港防災センター,愛知県,名古屋市港区港明１丁目１２－２０,災害の対処法をバーチャル体験を通して知ることができる施設。震度7クラスの地震や伊勢湾台風3D映像、煙避難体験をしながら災害について学ぶことができる。,通年,052-651-1100,http://www.minato-bousai.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMkxzal9jVk4yNG8/edit?usp=docslist_api,学習館・科学館
龍双ヶ滝,福井県,今立郡池田町東青,福井県で唯一「日本の滝百選」に選ばれている落差60mの滝。龍双坊という僧が神仏像を彫り、一念行願した言い伝えもある。水が岩肌から滑り落ちる姿に目を奪われるはず。,4～11月（冬期は県道通行不可の場合あり）,0778-44-8004,http://www.e-ikeda.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOek1GV3dXMm9vVEE/edit?usp=docslist_api,滝
おかざき世界子ども美術博物館,愛知県,岡崎市岡町鳥居戸１－１,世界中の子供たちの絵やピカソやロートレック、山下清などの巨匠たちが10代の頃に描いた作品を収蔵、展示。随時、子どもたちに向けた企画展を開催。造形センターでは、創作体験もできる。,通年,0564-53-3511,http://www.city.okazaki.aichi.jp/1200/1208/1242/p010841.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOOE5fSEdtMDZlYU0/edit?usp=docslist_api,美術館・ギャラリー
サンテパルクたはら,愛知県,田原市野田町芦ヶ池８,農園や小動物園があり、農業がテーマの公園。地元の農・畜産物の販売やウインナーやアイスクリームの手作り体験教室（有料、要予約）も開催。家族やカップルで回れるおもしろ自転車もある。,通年,0531-25-1234,http://www.santepark.com/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOV2FUSzN1Y1l5QzA/edit?usp=docslist_api,観光農園・農場
セラモール　とこなめ焼卸団地協同組合,愛知県,常滑市金山上砂原９９,広大な敷地に広がる陶磁器のショッピングゾーン。それぞれに個性豊かな店舗が軒を連ねている。ガーデン陶器から作家の器まで、いずれも市価の3割引ほどで販売している。,通年,0569-43-7111,http://www.ceramall.or.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAORlNMT1VrTXpPVDA/edit?usp=docslist_api,ショッピングモール
國盛酒の文化館,愛知県,半田市東本町２丁目２４,昭和47（1972）年まで200年間、酒造りが行われてきた蔵には、昔の酒造りの道具や資料が展示されている。試飲コーナーで利き酒ができるのも楽しみのひとつ。見学は要予約。,通年,0569-23-1499,http://www.nakanoshuzou.jp/sake/index.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOYlBqOE4wYXo3Zmc/edit?usp=docslist_api,資料館・郷土館
新舞子マリンパーク,愛知県,知多市緑浜町２,名古屋から近い海水浴場。新舞子駅からファインブリッジを渡れば、長崎県壱岐島より運んだ白い砂浜、ブルー・サンビーチが広がり、ビーチ周辺には芝広場が整備されている。,6月14日～8月31日,0562-56-3980,http://www.marine-park.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOZ3NsZlV0MU9iOUk/edit?usp=docslist_api,海水浴場・湖水浴場
飛騨高山の古い町並,岐阜県,高山市上三之町、上二之町、下二之町、大新町ほか,400年ほど前に、高山城主金森長近が整備した城下町。3つの（安川通りをはさんで上、下）南北通り筋を中心とした町並みは、風情をただよわせている。,通年,0577-32-3333,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMUltWWFuT2pvSEU/edit?usp=docslist_api,伝統的町並み・家並み
伊賀流忍者博物館,三重県,伊賀市上野丸之内１１７,上野公園にあり、くノ一や忍者が案内する忍者屋敷、歴史や資料を展示する忍術体験館、忍者伝承館からなる。忍術ひろばでは迫力満点の忍者ショーがくり広げられ手裏剣打ちも体験できる。,通年,0595-23-0311,http://www.iganinja.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOUXVRZG83SEVMeGc/edit?usp=docslist_api,博物館
関ヶ原古戦場,岐阜県,不破郡関ケ原町一帯,徳川家康率いる東軍と石田三成率いる西軍の歴史に残る天下分け目の合戦の舞台。開戦地をはじめ、徳川家康や石田三成などの陣跡には石碑が建てられている。,通年,0584-43-1112,http://www.kanko-sekigahara.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAObWdsSU5jeGRPdTA/edit?usp=docslist_api,史跡など
大井川鐵道,静岡県,島田市金谷東２丁目１１１２－２,大井川沿いに走るSL列車の旅。SL列車の運転区間新金谷から千頭駅までの約1時間20分。車両内は昔ながらの座席でレトロな雰囲気。車中で食べる弁当の味も格別だ。,通年,0547-45-4112（大井川鐵道営業部）,http://www.oigawa-railway.co.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOakYzYlRkOC1RRW8/edit?usp=docslist_api,観光鉄道（トロッコ等）
日泰寺,愛知県,名古屋市千種区法王町１丁目１,タイ王国から寄贈された、釈尊の遺骨と釈尊金銅仏を祀るために明治37（1904）年に創建された寺院。釈尊の遺骨を安置する泰安塔はガンダーラ様式で高さ約15m。,通年,052-751-2121,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOREVwWGpQRXN0MjA/edit?usp=docslist_api,寺院（観音・不動）
キユーピー　挙母工場（見学）,愛知県,豊田市日南町２丁目１,マヨネーズができるまでの映画鑑賞とマヨネーズドレッシングの製造工程が見学できる。中でも、1分間に600個の卵を割る機械は一見の価値あり。,通年,0565-34-0221（見学予約の受付時間は9:00～12:00、13:00～16:00（工場休業日は除く））,http://www.kewpie.co.jp/know/openkitchen/koromo_01.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOdjFuc1JHY2tVbjg/edit?usp=docslist_api,その他の見学施設
満天星亭,愛知県,尾張旭市霞ヶ丘町南２９８,庭園のドウダンツツジの美しさが名前の由来。春は白い可憐な花、秋は深紅の紅葉がみごと。庭のある建物。春と秋の一般公開の期間には、多くの人が訪れる。,通年,0561-53-1144,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOaFRPUHh5eXZJTHc/edit?usp=docslist_api,その他の文化施設
日本ガイシスポーツプラザ,愛知県,名古屋市南区東又兵ヱ町５丁目１－１６,競技場や温水プールなどがある総合体育施設。最大収容人数1万人の日本ガイシホールではコンサートをはじめ、展示会や各種スポーツ大会などさまざまなイベントが行われる。,通年,052-614-3111,http://www.nespa.or.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOVEhGZ1JuSmRIMms/edit?usp=docslist_api,複合施設
食と健康の館,愛知県,知多郡美浜町小野浦西川１,知多半島・美浜の自然を活かした体験型観光施設。人気の塩づくり体験など、季節ごとのイベントが盛りだくさんだ。,通年,0569-83-3600,http://www.shio-yakata.com/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOVk90R2d0Ri1sWGs/edit?usp=docslist_api,その他の体験施設
碧南市明石公園,愛知県,碧南市明石町６－１１,新遊具エアファイターが人気。キッズコースターやおとぎ列車も好評だ。大きな芝生広場もあるので、弁当持参でピクニック気分も味わえる。,通年,0566-48-1722,http://www.katch.ne.jp/~kanrikk/index.htm,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOWm56Q1FPVEFmbE0/edit?usp=docslist_api,遊園地
豊橋市二川宿本陣資料館,愛知県,豊橋市二川町中町６５,東海道五十三次で33番目の宿場町にある資料館。東海道、二川宿、本陣のコーナーがあり、江戸時代の旅や街道、大名行列を知ることができ、現存する本陣と旅籠屋も見学できる。,通年,0532-41-8580,http://www.toyohaku.gr.jp/honjin,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOcnRmb3RVU1JabHM/edit?usp=docslist_api,資料館・郷土館
八丁味噌の郷（見学）,愛知県,岡崎市八帖町往還通６９,正保2（1645）年創業の八丁味噌の老舗。天然醸造の味噌が仕込まれた大きな杉桶が並ぶ熟成蔵を見学することができる。,通年,0564-21-1355,http://www.kakuq.jp/home/build.htm,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOOC1qWWZ5dy1mbjA/edit?usp=docslist_api,その他の見学施設
あおいパーク,愛知県,碧南市江口町３丁目１５－３,地元の新鮮な野菜の産直市や農産物をふんだんに使ったレストラン、ハーブのお風呂、観賞温室、碧南の農業を紹介する映像コーナーなどがある。体験農園では農産物の収穫ができる。,通年,0566-43-0511,http://www.city.hekinan.aichi.jp/aoi/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOXzBLT0pjNUhFa0U/edit?usp=docslist_api,観光農園・農場
蒲郡市生命の海科学館,愛知県,蒲郡市港町１７－１７,46億年の地球の歴史がテーマ。本物の隕石や化石に触ることが出来る科学館。展示ケース4台に置かれたカンブリア紀の化石やイワチオサウルス、ヒゲクジラの化石は圧巻。,通年,0533-66-1717,http://www.city.gamagori.lg.jp/site/kagakukan/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOY3lxUFI5WllJbzA/edit?usp=docslist_api,学習館・科学館
あま市七宝焼アートヴィレッジ,愛知県,あま市七宝町遠島十三割２０００,七宝焼に特化した施設。館内では、七宝焼の名品鑑賞や制作工程の見学、アクセサリー類の制作体験ができるほか、アクセサリーや花瓶などの製品が展示販売されている。カフェも併設している。,通年,052-443-7588,http://www.shippoyaki.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAORUZ1bTREeGp4TEk/edit?usp=docslist_api,資料館・郷土館
ノリタケの森,愛知県,名古屋市西区則武新町３丁目１－３６,クラフトセンターではノリタケ製品の製造工程をトータルに見学できる。オールドノリタケなど初期の製品の展示もされている。絵付け体験コーナーもある。,通年,052-561-7290,http://www.noritake.co.jp/mori/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOUXdXb3QxU2hPbHc/edit?usp=docslist_api,資料館・郷土館
岡崎公園,愛知県,岡崎市康生町５６１－１,天守閣のほか三河武士のやかた家康館、家康産湯の井戸、二の丸能楽堂、家康公遺言碑、からくり時計塔など見どころが多数。桜やツツジ、サツキなどの花が咲き誇る。,通年,0564-24-2204,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOcUprMGs4QXg1MWc/edit?usp=docslist_api,公園・緑地
愛知県民の森,愛知県,新城市門谷鳳来寺７－６０,572haの森林の中に宿泊施設やキャンプ場、森の展示館などがある。ハイキングコースをはじめ、渓流散策、バードウォッチング、紅葉が素晴らしい。レクリエーション、アウトドアには事欠かない。,通年,0536-32-1262,http://www6.ocn.ne.jp/~kenmin/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAONGhyOUQ1a2QzMkU/edit?usp=docslist_api,その他のパーク・施設
三州足助屋敷,愛知県,豊田市足助町飯盛３６,館内は、昭和初期の豪農をモデルに再現されており、昔の生活をみることができる。また施設内では職人が実演しており、会話をしながら生活や手仕事を学ぶことができる。,通年,0565-62-1188,http://www.asuke.aitai.ne.jp/~yashiki/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOR3dfdHo2VV9wQm8/edit?usp=docslist_api,史跡など
半田運動公園,愛知県,半田市池田町３丁目１－１,ローラーすべり台などがある「ちびっこ広場」、夏場に子どもでにぎわう「ちゃぷちゃぷ池」などがある。また、サッカーや野球ができるグラウンドや、テニスコートも充実。,通年,0569-27-6663,http://www.city.handa.lg.jp/contents/50030036.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOR2Y3UTFkSGFxQWc/edit?usp=docslist_api,公園・緑地
大須観音,愛知県,名古屋市中区大須２丁目２１－４７,正式には北野山真福寺宝生院といい、本堂にはご本尊聖観世音菩薩が祀られている。下町情緒が漂う商店街には、古着店に大衆的なレストラン、ディスカウントショップがひしめき合う。,通年,052-231-6525,http://www.osu-kannon.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOSHFTY1lOUm1BQnM/edit?usp=docslist_api,寺院（観音・不動）
弘法山　金剛寺,愛知県,蒲郡市三谷町南山１４,昭和13（1938）年、篤信者の財閥が子授を願い、子安弘法大師像を建立。子授以外にも安産、子育、交通安全、進学達成など、さまざまな祈願にご利益がある。,-,0533-69-7379,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOQkZGb1JnVl9Vb1k/edit?usp=docslist_api,寺院（観音・不動）
足羽山公園,福井県,福井市足羽上町,福井市街地を一望できる、標高116.8mの足羽山。自然史博物館やミニ動物園、遊園地、足羽神社など見どころも多く、大人も子供も楽しめる。春には山全体に植えられた約3500本の桜が咲き誇る。,通年（アジサイの見頃は6月中旬、桜の見頃は4月上旬～中旬）,0776-20-5346,http://www.fukuicity-navi.com/010_search/spot/detail.php?id=22&cate=2,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOZUJNT0JHRkE4aFk/edit?usp=docslist_api,公園・緑地
名古屋市市政資料館,愛知県,名古屋市東区白壁１丁目３,大正末期の面影を残す近代建築を忠実に表現したネオ・バロック様式の建物で、国の重要文化財に指定されている。名古屋市の公文書館として市政に関する資料などを保存、公開している。,通年,052-953-0051,http://www.city.nagoya.jp/shisei/category/52-7-0-0-0-0-0-0-0-0.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAORWQ1V2pwM3RkSE0/edit?usp=docslist_api,資料館・郷土館
近鉄パッセ,愛知県,名古屋市中村区名駅１丁目２－２,レディースファッション約70店を展開するほか地下1階には弁当やスイーツなどが集合。また、タワーレコードや星野書店などの大型専門店もそろっているので、欲しいアイテムが見つかるはず。,通年,052-582-3411,http://www.passe.co.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOdGFLUWEzVnh5bXM/edit?usp=docslist_api,デパート
知立公園,愛知県,知立市西町神田町知立神社外苑,5月下旬から6月下旬に開催される花しょうぶまつりで有名な公園。祭り期間中は3万余株の紫、白、青の花が咲き乱れ、園内では茶会や宝物展などが催される。,通年（花の見頃は6月上旬～中旬）,0566-83-1111,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTElZa0o1aXlnN2M/edit?usp=docslist_api,花の名所
リスの森　飛騨山野草自然庭園,岐阜県,高山市松倉町２３５１－７,シマリス、エゾリスの2種類のリスとふれあえ、園内で販売のリスのエサを手の上で与えれば食べることもある。併設の飛騨山野草自然庭園では遊歩道を散策しながら珍しい草花を観察できる。,3月中旬～11月,0577-33-9232,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTnZLWDBWOEhfSm8/edit?usp=docslist_api,動物園
リニア・鉄道館～夢と想い出のミュージアム～,愛知県,名古屋市港区金城ふ頭３丁目２－２,東海道新幹線を中心に、在来線から超電導リニアまでの車両を展示し、「高速鉄道技術の進歩」を紹介。シミュレータや精緻な鉄道ジオラマも設置し、子どもから大人まで体験しながら楽しく学べる。,通年,050-3772-3910,http://museum.jr-central.co.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMmQwd1phRy13X3M/edit?usp=docslist_api,博物館
綿ヶ滝,石川県,白山市下吉谷町,手取峡谷の一番の見どころ。落差が32mある滝を、水しぶきが飛んでくるほど近くで見ることができる。周辺は遊歩道が整備されている。,通年,076-254-2011,http://www.gogo8934.jp/iframe/park/tedori_valley.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOR2V0Zi14OW9tTXc/edit?usp=docslist_api,滝
菅沼合掌造り集落,富山県,南砺市菅沼,相倉合掌集落や岐阜の白川郷と共にユネスコの世界遺産として登録された菅沼集落。集落内には9戸の合掌造りが現存し、五箇山のいにしえの暮らしなどを紹介した資料館が2軒ある。,通年,0763-67-3008,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOZEFjWnVBREpPb0E/edit?usp=docslist_api,伝統的町並み・家並み
ふくべの大滝,石川県,白山市中宮,白山スーパー林道の途中にある、落差86mの蛇谷随一の大滝。垂直に近い白っぽい岩を落下する姿は豪快で、その水しぶきはときには道路を覆うほどの激しさだ。,6月上旬～11月10日,076-256-7341,http://www.hakusan-rindo.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOS193Y3NvWXB2cUU/edit?usp=docslist_api,滝
御母衣ダム湖,岐阜県,大野郡白川村牧横平１６２－１,高さ131m、堤長405mの国内有数のロックフィル式ダムによって造られた貯水池。周辺の木々の緑が、湖に美しく映える。ダムの下流にある電力館も見学できる。,通年,05769-5-2311,http://www.sakura.jpower.co.jp/access/acc00200.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTHphNmltUmY3cHM/edit?usp=docslist_api,その他の名所
阿弥陀ヶ滝,岐阜県,郡上市白鳥町前谷,日本の滝100選に入る名滝。約60mから音を立てて落ちる滝つぼの水しぶきは、離れていても濡れるほど。積雪時は見学不可。,通年,0575-82-5900,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOaEYwd0s2SzZ1Skk/edit?usp=docslist_api,滝
五宝滝,岐阜県,加茂郡八百津町八百津,三段に流れる落差約80mの滝。近くに円明の滝と宮本武蔵が修行した二天の滝がある。秋には紅葉が楽しめる。,通年,0574-43-2111,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOS2VDTkhaWS1ZRUk/edit?usp=docslist_api,滝
お菓子の城,愛知県,犬山市新川１－１１,見て作って食べられるお菓子のテーマパーク。高さ14.8mのウェディングケーキや古城を再現したシュガーアートもあり、ビスケット・クッキー作り体験ができる。,通年,0568-67-8181,http://www.okashino-shiro.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOZFEzWE40bUdvcTQ/edit?usp=docslist_api,遊園地
立山高原バス,富山県,中新川郡立山町 （室堂～美女平）,"美女平と室堂を結びます。マイカーは通行禁止の区間です。
途中、立山杉、称名滝などの見所で停車してくれます（社外には出られません）。その他弥陀ヶ原などの見所がありますが、すべて左側のほうがよく見えます。
紅葉の時期などは、室堂直行便と通常便（途中下車可）がありますが、本数は室堂直行便のほうが多く、頻繁に出ます。美女平駅で並ぶ列が異なりますのでご注意です。",,076-432-2819,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOd0lIR2RxZnVhZms/edit?usp=docslist_api,キャラクターバス・観光バス
安房峠,岐阜県,高山市～長野県松本市,夏の晴れた日は最高ですね。登るのはけっこう大変ですが、そんなに狭い道ではないので苦痛ではありません。沿道には猿の群れがいたりします。,,-,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOSEVLb2xmaTU3Q0U/edit?usp=docslist_api,峠
越前陶芸村,福井県,丹生郡越前町小曽原６－１２,約850年前、越前町の小曽原に壺やかめなどの日用のものを焼くための窯が作られたのが越前焼の始まりで、備前や瀬戸焼と並んで日本の六古窯に数えられた。,通年,0778-32-2084（越前陶芸村総合案内所）,http://www.echizentogeimura.com/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOb0xHVXR6dHhPWFk/edit?usp=docslist_api,その他の文化施設
ナガシマスパーランド,三重県,桑名市長島町浦安３３３,木曽川、長良川の河口に位置する総合レジャーランド。超コースター「スチールドラゴン2000」が人気で、家族向けの乗り物もある。温泉施設を併設し、夏はプールも楽しめる。,通年,0594-45-1111,http://www.nagashima-onsen.co.jp/spaland/index.html/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOT2lvdkZJUzZmVXM/edit?usp=docslist_api,遊園地
廻船問屋　瀧田家,愛知県,常滑市栄町４丁目７５,江戸時代から廻船業で栄えた旧家、瀧田家の屋敷を復元したもので、常滑市指定有形文化財の建築物。瀧田家に残された生活道具や廻船に関する資料を展示している。,通年,0569-36-2031,http://www.tokoname-kankou.net/contents/miru01-05.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOUURJY0F3Z0ZPc0U/edit?usp=docslist_api,史跡など
犬山城,愛知県,犬山市犬山北古券６５－２,荻生徂徠が李白の詩になぞらえ白帝城とたたえた犬山城。天文6（1537）年に織田与次郎信康を城主として築かれた平山城だ。国宝四城のひとつ。,通年,0568-61-1711,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTHZHc0c5SkZXUTQ/edit?usp=docslist_api,城
白鳥庭園,愛知県,名古屋市熱田区熱田西町２－５,中部地方の地形をモチーフに、御嶽山を築山、木曽川を流れ、伊勢湾を池にみたてた池泉回遊式庭園。汐入りの庭では、潮の干満による景色の変化や四季折々の花々を楽しめる。,通年,052-681-8928,http://www.shirotori-garden.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOVlp4ZGtZcElhTDg/edit?usp=docslist_api,庭園
竹島,愛知県,蒲郡市竹島町,観光蒲郡のシンボル的存在。昭和5（1930）年に島全体が国の天然記念物に指定された。周囲は一周30分ほどの遊歩道が整備されているので、植物を観察しながら散策できる。,通年,0533-66-1120,http://www.gamagori.jp/look/detail_4_0_1_0_0.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTGdKUHRPc00wbk0/edit?usp=docslist_api,島
