:title_ja,:genres_ja,:genres_en
皆吉爽雨文学碑,名所,Attractions
祭祀遺跡磐座,"文化史跡,史跡","Cultural historic sites,historic sites"
七重川河川公園／ほたる,"動・植物,動物","Animal and plant,animal"
宝珠寺ヒメシダレザクラ,"動・植物,植物","Animal and plant,plant"
手白澤温泉（奥鬼怒温泉）,温泉,Hot Springs
脊振峡の桜,"動・植物,植物","Animal and plant,plant"
黒の瀬戸,"自然景観,海岸景観","Natural landscape,coastal landscape"
伊勢塚,"文化史跡,史跡","Cultural historic sites,historic sites"
義士祭、吉良祭・元禄市,"祭事,行・祭事","Festivals,row and festivals"
ポットホール（猿の水飲み場）,"自然景観,特殊地形","Natural landscape,special terrain"
幻夢洞のハチの巣状風化岩,"自然景観,特殊地形","Natural landscape,special terrain"
玉依比売命神社,神社仏閣,Shrines and temples
戸隠キャンプ場,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
裾花川,"レクリエーション,観光漁業","Recreation,Tourism fishing"
大岡温泉,温泉,Hot Springs
豊野温泉 りんごの湯,温泉,Hot Springs
蓼科温泉,温泉,Hot Springs
大信州酒造(株)豊野蔵,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
日田市指定無形民俗文化財　烏宿神社はだか参り,"祭事,行・祭事","Festivals,row and festivals"
本場奄美大島紬泥染公園,"公園・庭園,公園","Park and square or garden,park"
奄美少年自然の家,"文化施設,センター施設","Cultural facilities,center facilities"
義士祭,"祭事,行・祭事","Festivals,row and festivals"
多胡碑,"文化史跡,史跡","Cultural historic sites,historic sites"
大正池,"自然景観,湖沼","Natural landscape,lakes"
美鈴湖の紅葉,"動・植物,植物","Animal and plant,plant"
中宮寺,神社仏閣,Shrines and temples
堂崎城,"文化史跡,城郭","Cultural historic sites,castles"
滝川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
円成寺,神社仏閣,Shrines and temples
あがたの森公園,"公園・庭園,公園","Park and square or garden,park"
猿山岬,"自然景観,海岸景観","Natural landscape,coastal landscape"
休暇村乗鞍高原一の瀬キャンプ場,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
旧制高等学校記念館,"文化施設,博物館","Cultural facilities,museums"
浅間温泉会館　ホットプラザ浅間,"文化施設,センター施設","Cultural facilities,center facilities"
銀山城跡,"文化史跡,史跡","Cultural historic sites,historic sites"
扉温泉,温泉,Hot Springs
小林城跡,"文化史跡,史跡","Cultural historic sites,historic sites"
社日稲荷神社,神社仏閣,Shrines and temples
西穂山荘,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
涸沢小屋,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
阿弥陀寺,神社仏閣,Shrines and temples
霧ヶ峰キャンプ場,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
野波瀬釣りデッキ,"レクリエーション,観光漁業","Recreation,Tourism fishing"
唐沢の滝,"自然景観,河川景観","Natural landscape,river landscape"
胸形神社,神社仏閣,Shrines and temples
美ヶ原高原美術館,"文化施設,美術館","Cultural facilities,Museum of Art"
洞寺,"自然景観,特殊地形","Natural landscape,special terrain"
元寇防塁跡,"文化史跡,史跡","Cultural historic sites,historic sites"
花乱の滝,"自然景観,河川景観","Natural landscape,river landscape"
こせの渓谷,"自然景観,河川景観","Natural landscape,river landscape"
優佳良織工芸館,"文化施設,博物館","Cultural facilities,museums"
旧北国街道　菱屋,"名産品,ショッピング店","Specialties,shopping store"
市立岡谷蚕糸博物館（シルクファクトおかや）,"文化施設,博物館","Cultural facilities,museums"
下関市立豊北歴史民俗資料館　『太翔館（たいしょうかん）』,"文化施設,博物館","Cultural facilities,museums"
黄梅院の枝垂れ桜,"動・植物,植物","Animal and plant,plant"
高橋海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
鵜甘神社,神社仏閣,Shrines and temples
万田坑,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
あいおいニッセイ同和損保ザ・フェニックスホール,"文化施設,センター施設","Cultural facilities,center facilities"
川路温泉,温泉,Hot Springs
立花城址,"文化史跡,史跡","Cultural historic sites,historic sites"
戸山公園（交通公園）,"公園・庭園,公園","Park and square or garden,park"
湖畔公園足湯,"文化施設,センター施設","Cultural facilities,center facilities"
薫主堂,"名産品,伝統工芸技術","Specialties,traditional craft techniques"
ドライブイン　霧ヶ峰　富士見台,"名産品,ショッピング店","Specialties,shopping store"
有栖川宮記念公園,"公園・庭園,公園","Park and square or garden,park"
日龍峰寺多宝塔,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
白谷観音堂,神社仏閣,Shrines and temples
お茶屋屋敷跡,"文化史跡,史跡","Cultural historic sites,historic sites"
日下部民藝館,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
ペンションハロー,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
天望山,"自然景観,山岳","Natural landscape,mountain"
愛宕神社,神社仏閣,Shrines and temples
一湊海水浴場,"レクリエーション,海水浴場","Recreation,beaches"
旧太田脇本陣林家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
カリカリウス堅穴群,"文化史跡,史跡","Cultural historic sites,historic sites"
標津川,"自然景観,河川景観","Natural landscape,river landscape"
宝積院,神社仏閣,Shrines and temples
樫原湿原,"自然景観,高原","Natural landscape,Plateau"
かわうちの湯,温泉,Hot Springs
間藤水力発電所跡,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
赤城神社,神社仏閣,Shrines and temples
江戸ワンダーランド　日光江戸村,"レクリエーション,テーマパーク・レジャーランド","Recreation,Theme Park and Leisure Land"
河内の風穴,"自然景観,特殊地形","Natural landscape,special terrain"
振徳堂,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
瀞峡,"自然景観,河川景観","Natural landscape,river landscape"
一本木公園のバラ,"動・植物,植物","Animal and plant,plant"
熊石漁港ふれあい広場,"公園・庭園,公園","Park and square or garden,park"
大川内岡,"文化史跡,史跡","Cultural historic sites,historic sites"
白鬚神社,神社仏閣,Shrines and temples
朝市,"地域風俗・風習,地域風俗","Local customs and Customs,local customs"
鷹狩山,"自然景観,高原","Natural landscape,Plateau"
金作原原生林,名所,Attractions
夜狩尾谷川,"自然景観,河川景観","Natural landscape,river landscape"
須佐神社（今井祇園）,神社仏閣,Shrines and temples
水哉園,"文化史跡,史跡","Cultural historic sites,historic sites"
大町ダム,"自然景観,湖沼","Natural landscape,lakes"
白崎海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
府中湖,"自然景観,湖沼","Natural landscape,lakes"
城山城址,"文化史跡,史跡","Cultural historic sites,historic sites"
波宝神社,神社仏閣,Shrines and temples
新町通り,"施設景観,町並み","Facility landscape,townscape"
伝通院,神社仏閣,Shrines and temples
羽佐の窪渓谷,"自然景観,河川景観","Natural landscape,river landscape"
浮島,"自然景観,湖沼","Natural landscape,lakes"
鹿川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
鴨ヶ浦,"自然景観,海岸景観","Natural landscape,coastal landscape"
五木温泉「夢唄」,温泉,Hot Springs
禰寝重長の木像,名所,Attractions
立山黒部アルペンルート,"動・植物,植物","Animal and plant,plant"
三滝ダム,"文化施設,近代的建造物","Cultural facilities,modern buildings"
久松みやーか群,"文化史跡,史跡","Cultural historic sites,historic sites"
大黒町追分のシダレザクラ,"動・植物,植物","Animal and plant,plant"
農具川の「大町ツツジ・アヤメ街道」,"動・植物,植物","Animal and plant,plant"
新ゲインズボローカントリー倶楽部,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
寛永寺,神社仏閣,Shrines and temples
緑清荘,"文化施設,センター施設","Cultural facilities,center facilities"
レークスワンカントリー倶楽部　美祢コース,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
宝達志水町運動公園多目的運動広場,"公園・庭園,公園","Park and square or garden,park"
福智山,"自然景観,山岳","Natural landscape,mountain"
伊原間海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
大井宿本陣跡,"文化史跡,史跡","Cultural historic sites,historic sites"
二級峡,"自然景観,河川景観","Natural landscape,river landscape"
旧風間家住宅「丙申堂」,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
菅家庭園,"公園・庭園,庭園","Park and square or garden,garden"
星の宮カントリー倶楽部,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
東富士カントリークラブ,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
ミルフィーユゴルフクラブ,"スポーツ・レジャー,ゴルフ場","Sports and leisure,golf"
居谷里湿原,"レクリエーション,自然歩道・自然研究路","Recreation,nature trails and natural research paths"
酒の博物館,"文化施設,博物館","Cultural facilities,museums"
印野の溶岩隧道,"自然景観,特殊地形","Natural landscape,special terrain"
星野川,"自然景観,河川景観","Natural landscape,river landscape"
大崩山の紅葉,"動・植物,植物","Animal and plant,plant"
塩の道ちょうじや・流鏑馬会館,"文化施設,博物館","Cultural facilities,museums"
四季演劇資料館,"文化施設,博物館","Cultural facilities,museums"
妙法輪寺のナンテン,"動・植物,植物","Animal and plant,plant"
水泥古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
大山下池・上池の蓮の花,"動・植物,植物","Animal and plant,plant"
新境川の桜,"動・植物,植物","Animal and plant,plant"
施無畏山観音寺,神社仏閣,Shrines and temples
揖斐峡,"自然景観,河川景観","Natural landscape,river landscape"
虫供養塚,名所,Attractions
藤原湖畔のコブシ,"動・植物,植物","Animal and plant,plant"
阿蘇にしはらウインドファーム,"施設景観,展望施設","Facility landscape,outlook facility"
オニバス,"動・植物,植物","Animal and plant,plant"
豊平館,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
神代垣内落鉄穴跡,"文化史跡,史跡","Cultural historic sites,historic sites"
野口五郎小屋,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
湯俣温泉晴嵐荘,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
休暇村奥武蔵,"公共の宿,公的宿泊施設","Public inn,public accommodation"
餓鬼岳小屋,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
烏帽子小屋,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
雲ノ平山荘,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
崇福寺,神社仏閣,Shrines and temples
宝仙寺,神社仏閣,Shrines and temples
都市農業公園のチューリップ,"動・植物,植物","Animal and plant,plant"
ふるさと歩道　高麗の里を訪ねるコース,"レクリエーション,ハイキングコース","Recreation,hiking trails"
西福寺,神社仏閣,Shrines and temples
幽幻の滝,"自然景観,河川景観","Natural landscape,river landscape"
塩崎農園,"レクリエーション,観光農林業","Recreation,tourism agriculture and forestry"
又木茶屋,"文化施設,センター施設","Cultural facilities,center facilities"
阿部製紙,"観光案内,体験観光","Tourist information,experience tourism"
信貴山　朝護孫子寺,神社仏閣,Shrines and temples
荷卸の松,"動・植物,植物","Animal and plant,plant"
禅定院,神社仏閣,Shrines and temples
玉川公園,"公園・庭園,公園","Park and square or garden,park"
福勝寺古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
四日市横穴群,"文化史跡,史跡","Cultural historic sites,historic sites"
金剛福寺,神社仏閣,Shrines and temples
上町如意輪観音堂,神社仏閣,Shrines and temples
太郎丸集落春祭り,"祭事,行・祭事","Festivals,row and festivals"
足水と天然冷風浴施設「ようきた洞」オープン,"祭事,行・祭事","Festivals,row and festivals"
うたづ臨海公園　遊具広場,"公園・庭園,公園","Park and square or garden,park"
奇祭大俵引き,"祭事,行・祭事","Festivals,row and festivals"
白河だるま市,"祭事,行・祭事","Festivals,row and festivals"
野宮神社,神社仏閣,Shrines and temples
カンムリウミスズメ,"動・植物,動物","Animal and plant,animal"
松焚祭（どんと祭）,"祭事,行・祭事","Festivals,row and festivals"
五桂池,"自然景観,湖沼","Natural landscape,lakes"
金剛寺の青梅,"動・植物,植物","Animal and plant,plant"
第24回 定禅寺ストリートジャズフェスティバルin仙台,"祭事,行・祭事","Festivals,row and festivals"
金山渓谷,"自然景観,河川景観","Natural landscape,river landscape"
吉野川,"自然景観,河川景観","Natural landscape,river landscape"
滝の観音,"自然景観,河川景観","Natural landscape,river landscape"
乾燥木材工芸資料館,"文化施設,博物館","Cultural facilities,museums"
ギャラリーTOM,"文化施設,美術館","Cultural facilities,Museum of Art"
晴海埠頭（客船ターミナル）,名所,Attractions
大鏑矢ふれあい公園,"公園・庭園,公園","Park and square or garden,park"
藤村作先生顕彰碑,名所,Attractions
夜の森駅のツツジ,"動・植物,植物","Animal and plant,plant"
竹林院の庭園,"公園・庭園,庭園","Park and square or garden,garden"
名橋「日本橋」橋洗い,"祭事,行・祭事","Festivals,row and festivals"
清岸院の虚空蔵堂,神社仏閣,Shrines and temples
願成寺西墳之越古墳群,"文化史跡,史跡","Cultural historic sites,historic sites"
普門院,神社仏閣,Shrines and temples
行者の滝,"自然景観,河川景観","Natural landscape,river landscape"
石坂石畳道,"文化史跡,史跡","Cultural historic sites,historic sites"
虹澗橋,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
四辻峠,"自然景観,高原","Natural landscape,Plateau"
弓ケ浜海水浴場,"レクリエーション,海水浴場","Recreation,beaches"
新年竟宴祭,"祭事,行・祭事","Festivals,row and festivals"
西海橋公園,"公園・庭園,公園","Park and square or garden,park"
国民宿舎ボルべリアダグリ　天然温泉,温泉,Hot Springs
海峡いさりび公園,"公園・庭園,公園","Park and square or garden,park"
高月院,神社仏閣,Shrines and temples
佐賀県立佐賀城本丸歴史館,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
第27回駒ヶ根高原スキー・スノーボード大会,"祭事,行・祭事","Festivals,row and festivals"
一志勤労者体育センター,"文化施設,センター施設","Cultural facilities,center facilities"
瞑想の郷,"文化施設,博物館","Cultural facilities,museums"
水石山,"自然景観,山岳","Natural landscape,mountain"
ボッケ（泥火山）,"自然景観,自然現象","Natural landscape,natural phenomena"
以久科原生花園,"動・植物,植物","Animal and plant,plant"
笠狭宮跡,"文化史跡,史跡","Cultural historic sites,historic sites"
香積寺,神社仏閣,Shrines and temples
姥ケ池碑助六の歌碑,名所,Attractions
臼塚古墳,"文化史跡,史跡","Cultural historic sites,historic sites"
森鴎外文学碑,名所,Attractions
土呂八幡宮,神社仏閣,Shrines and temples
光のTREEページェント,"祭事,行・祭事","Festivals,row and festivals"
誓願寺,神社仏閣,Shrines and temples
児玉家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
直方歳事館,"文化施設,センター施設","Cultural facilities,center facilities"
祐天寺,神社仏閣,Shrines and temples
八乙女浦,"自然景観,特殊地形","Natural landscape,special terrain"
鍬の祭,"祭事,行・祭事","Festivals,row and festivals"
第9回武蔵野吉祥七福神めぐり,"祭事,行・祭事","Festivals,row and festivals"
八雲氷川神社,神社仏閣,Shrines and temples
氷川神社,神社仏閣,Shrines and temples
蓼科スカイライン,"動・植物,植物","Animal and plant,plant"
延命地蔵の水,"自然景観,自然現象","Natural landscape,natural phenomena"
旧数山家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
新川渓谷温泉郷,温泉,Hot Springs
英彦山神宮,神社仏閣,Shrines and temples
醍醐寺,神社仏閣,Shrines and temples
与賀神社,神社仏閣,Shrines and temples
無藝荘,名所,Attractions
普光寺磨崖仏,"文化史跡,史跡","Cultural historic sites,historic sites"
桂昌寺跡地獄極楽,"文化史跡,史跡","Cultural historic sites,historic sites"
元興寺,神社仏閣,Shrines and temples
日豊海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
直海周辺,"自然景観,海岸景観","Natural landscape,coastal landscape"
第１３回たきかわ紙袋ランターンフェスティバル,"祭事,行・祭事","Festivals,row and festivals"
八剱八幡神社,神社仏閣,Shrines and temples
浅間山の展望,"施設景観,展望施設","Facility landscape,outlook facility"
あらふね湖,"自然景観,湖沼","Natural landscape,lakes"
永明寺のイチョウ,"動・植物,植物","Animal and plant,plant"
なかたね ふれあいの里,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
内山牧場のレンゲツツジ園,"動・植物,植物","Animal and plant,plant"
大町桂月文学碑,名所,Attractions
旧中込学校の藤の花,"動・植物,植物","Animal and plant,plant"
平尾山,"動・植物,植物","Animal and plant,plant"
道閑塚及び刑場跡,"文化史跡,史跡","Cultural historic sites,historic sites"
春日奥山の紅葉,"動・植物,植物","Animal and plant,plant"
春日大社の砂ずりの藤,"動・植物,植物","Animal and plant,plant"
正暦寺のモミジ,"動・植物,植物","Animal and plant,plant"
甘藷翁記念碑,名所,Attractions
紅葉峠展望台,"施設景観,展望施設","Facility landscape,outlook facility"
望郷子守唄の碑,名所,Attractions
明治大学商品陳列館,"文化施設,博物館","Cultural facilities,museums"
松江郷土館(興雲閣),"文化施設,歴史的建造物","Cultural facilities,historic buildings"
小見野々ダム湖,"自然景観,湖沼","Natural landscape,lakes"
小矢部河川公園,"公園・庭園,公園","Park and square or garden,park"
ファームイン南房総　杉田棟,"民宿・ペンション,ペンション","Bed and Breakfast,Pension"
大浦天主堂,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
霧多布湿原,"自然景観,高原","Natural landscape,Plateau"
足尾銅山観光,"文化施設,博物館","Cultural facilities,museums"
梛,"動・植物,植物","Animal and plant,plant"
合志市西合志図書館天文台,"施設景観,展望施設","Facility landscape,outlook facility"
不動堂,神社仏閣,Shrines and temples
千代姫コテージ,"スポーツ・レジャー,キャンプ場","Sports and leisure,camping"
蔦の渕,"自然景観,河川景観","Natural landscape,river landscape"
霧多布岬,"自然景観,海岸景観","Natural landscape,coastal landscape"
山登り,"祭事,行・祭事","Festivals,row and festivals"
眼鏡橋,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
アシリベツの滝,"自然景観,河川景観","Natural landscape,river landscape"
倶利伽羅古戦場,"文化史跡,史跡","Cultural historic sites,historic sites"
祝吉御所跡,"文化史跡,史跡","Cultural historic sites,historic sites"
白浜海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
荒沢ダム周辺の紅葉,"動・植物,植物","Animal and plant,plant"
天長寺石仏群,"文化史跡,史跡","Cultural historic sites,historic sites"
津海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
海上自衛隊（旧海軍兵学校）,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
水島観光さつき園,"公園・庭園,庭園","Park and square or garden,garden"
天塩川,"自然景観,河川景観","Natural landscape,river landscape"
中村家住宅,"文化施設,歴史的建造物","Cultural facilities,historic buildings"
首切り地蔵（小塚原刑場跡）,名所,Attractions
網走湖,"自然景観,湖沼","Natural landscape,lakes"
ケアポートみまき温泉アクティブセンター,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
電照菊（百万ドルの夜景）,"動・植物,植物","Animal and plant,plant"
芭蕉歴史の道,"文化史跡,旧街道","Cultural historic sites,old road"
芭蕉句碑,名所,Attractions
大田区休養村とうぶ,"文化施設,センター施設","Cultural facilities,center facilities"
知的障害者更生施設渓明園,名所,Attractions
高島秋帆旧宅,"文化史跡,史跡","Cultural historic sites,historic sites"
富川渓谷,"自然景観,河川景観","Natural landscape,river landscape"
かるた始め式,"祭事,行・祭事","Festivals,row and festivals"
金刀比羅神社　初詣,"祭事,行・祭事","Festivals,row and festivals"
エビラ沢の滝,"自然景観,河川景観","Natural landscape,river landscape"
西導寺,神社仏閣,Shrines and temples
網走川,"自然景観,河川景観","Natural landscape,river landscape"
ポンモイ海岸,"自然景観,海岸景観","Natural landscape,coastal landscape"
二ツ岩,"自然景観,特殊地形","Natural landscape,special terrain"
サンワアリーナ（青森県営スケート場）,"スポーツ・レジャー,スケート場","Sports and leisure,skating rink"
大水沢の滝,"自然景観,河川景観","Natural landscape,river landscape"
長峰山山頂,"自然景観,自然現象","Natural landscape,natural phenomena"
兼六園の桜,"動・植物,植物","Animal and plant,plant"
あやめ公園・龍門渕公園の花菖蒲,"動・植物,植物","Animal and plant,plant"
一の沢林道の紅葉,"動・植物,植物","Animal and plant,plant"
大鷲院の磨崖仏,名所,Attractions
三河湖,"自然景観,湖沼","Natural landscape,lakes"
音海大断崖,"自然景観,海岸景観","Natural landscape,coastal landscape"
なかとみ和紙の里,"レクリエーション,公的観光レクリエーション地域","Recreation,public tourism Recreation Area"
ネコギギ,"動・植物,動物","Animal and plant,animal"
長峰山,"スポーツ・レジャー,スポーツリゾート施設","Sports and leisure,sports resort"
前川,"スポーツ・レジャー,マリーナ・ヨットハーバー","Sports and leisure,Marina Yacht Harbor"
嘉多山公園,"公園・庭園,公園","Park and square or garden,park"
安曇野市豊科近代美術館,"文化施設,美術館","Cultural facilities,Museum of Art"
安曇野ワイナリー,"文化施設,産業観光施設","Cultural facilities,industrial tourism facilities"
農業活性化施設「VIF穂高」ふれあい体験館,"観光案内,体験観光","Tourist information,experience tourism"
安曇野蝶ヶ岳温泉,温泉,Hot Springs
裸参り,"祭事,行・祭事","Festivals,row and festivals"
流氷観光砕氷船「おーろら」,"祭事,行・祭事","Festivals,row and festivals"
弓削大橋記念公園,"公園・庭園,公園","Park and square or garden,park"
祝子川渓谷の紅葉,"動・植物,植物","Animal and plant,plant"
普光寺,神社仏閣,Shrines and temples
神角寺,神社仏閣,Shrines and temples
三輪神社,神社仏閣,Shrines and temples
夜叉ケ池,"自然景観,湖沼","Natural landscape,lakes"
第3回　四万十・足摺無限大チャレンジライド,"祭事,行・祭事","Festivals,row and festivals"
南相木温泉　「滝見の湯」,郷土料理店,Local restaurant
内海,"レクリエーション,観光漁業","Recreation,Tourism fishing"
大池潮干狩場,"レクリエーション,観光漁業","Recreation,Tourism fishing"
